order_id,product,category,region,sales_amount,quantity,order_date
65,Phone,Furniture,West,1509,1,2023-05-17
66,Chair,Electronics,North,972,1,2023-04-20
67,Chair,Furniture,South,1800,2,2023-11-15
68,Laptop,Electronics,East,270,2,2023-10-04
69,Laptop,Electronics,North,1898,5,2023-09-21
70,Laptop,Furniture,North,1933,3,2023-10-25
71,Desk,Electronics,East,443,2,2023-05-11
72,Tablet,Furniture,South,1423,3,2023-03-25
73,Chair,Electronics,East,661,3,2023-02-18
74,Chair,Furniture,South,1677,2,2023-08-04
75,Chair,Furniture,West,206,4,2023-03-23
76,Chair,Electronics,East,1679,3,2023-10-29
77,Laptop,Furniture,East,1434,2,2023-01-07
78,Chair,Electronics,East,669,4,2023-08-26
79,Chair,Electronics,East,269,2,2023-03-03
80,Phone,Electronics,East,548,3,2023-02-02
81,Desk,Furniture,South,196,4,2023-05-06
82,Phone,Electronics,South,1783,1,2023-08-22
83,Desk,Electronics,East,1087,2,2023-11-26
84,Phone,Furniture,East,1710,3,2023-10-04
85,Desk,Furniture,East,359,5,2023-10-05
86,Tablet,Furniture,South,1285,3,2023-02-23
87,Chair,Electronics,South,141,1,2023-11-15
88,Laptop,Electronics,South,1422,3,2023-05-04
89,Tablet,Furniture,North,787,4,2023-11-10
90,Laptop,Furniture,East,477,3,2023-05-17
91,Desk,Furniture,South,621,5,2023-08-24
92,Laptop,Electronics,West,1209,1,2023-01-05
93,Phone,Furniture,East,1071,4,2023-10-19
94,Phone,Furniture,East,1267,4,2023-04-27
95,Laptop,Furniture,North,1551,5,2023-08-06
96,Desk,Furniture,North,991,3,2023-04-02
97,Desk,Electronics,North,780,5,2023-09-21
98,Desk,Electronics,East,316,4,2023-08-07
99,Desk,Furniture,East,1022,1,2023-06-06
100,Tablet,Electronics,North,281,5,2023-11-02
101,Chair,Electronics,West,1722,5,2023-01-15
102,Phone,Electronics,West,790,1,2023-09-24
103,Chair,Furniture,North,1481,2,2023-01-04
104,Tablet,Furniture,South,1151,2,2023-07-01
105,Phone,Furniture,North,501,5,2023-07-18
106,Tablet,Furniture,North,1284,1,2023-12-22
107,Laptop,Electronics,South,452,5,2023-10-07
108,Phone,Furniture,North,613,3,2023-05-31
109,Tablet,Furniture,South,1879,2,2023-03-13
110,Phone,Furniture,North,1654,5,2023-03-11
111,Desk,Electronics,East,1277,1,2023-07-29
112,Desk,Furniture,East,820,4,2023-05-04
113,Phone,Furniture,North,1741,3,2023-04-23
114,Desk,Furniture,North,562,2,2023-03-10
115,Tablet,Furniture,West,661,1,2023-10-12
116,Tablet,Furniture,North,454,5,2023-05-13
117,Chair,Electronics,East,120,4,2023-07-11
118,Laptop,Electronics,West,1020,4,2023-02-13
119,Phone,Electronics,South,429,3,2023-02-06
120,Chair,Furniture,East,649,5,2023-12-22
121,Desk,Furniture,North,449,3,2023-04-16
122,Desk,Furniture,South,1221,5,2023-11-01
123,Chair,Electronics,West,948,2,2023-04-20
124,Desk,Furniture,South,498,1,2023-03-31
125,Phone,Furniture,North,1859,3,2023-11-21
126,Chair,Furniture,East,333,3,2023-11-18
127,Laptop,Electronics,North,965,1,2023-01-23
128,Chair,Furniture,North,1346,4,2023-06-12
129,Laptop,Electronics,South,991,5,2023-06-01
130,Tablet,Furniture,West,670,4,2023-02-01
131,Phone,Furniture,West,872,3,2023-01-18
132,Laptop,Electronics,East,1228,4,2023-10-29
133,Laptop,Electronics,North,1070,3,2023-06-09
134,Chair,Electronics,North,637,3,2023-03-12
135,Desk,Furniture,North,1506,1,2023-10-08
136,Tablet,Furniture,South,487,2,2023-06-16
137,Tablet,Furniture,East,791,4,2023-01-07
138,Laptop,Electronics,South,260,2,2023-11-04
139,Chair,Furniture,West,220,3,2023-03-17
140,Phone,Electronics,East,1716,3,2023-07-17
141,Chair,Furniture,East,1442,1,2023-09-19
142,Phone,Electronics,East,1830,4,2023-02-07
143,Laptop,Furniture,North,1173,3,2023-11-08
144,Phone,Electronics,West,1054,1,2023-09-27
145,Laptop,Electronics,North,1590,3,2023-12-18
146,Phone,Furniture,East,761,2,2023-07-07
147,Desk,Furniture,South,680,4,2023-11-01
148,Tablet,Electronics,North,1292,4,2023-10-29
149,Phone,Furniture,East,915,5,2023-11-05
150,Laptop,Electronics,North,308,3,2023-09-04
151,Laptop,Furniture,East,1457,5,2023-05-09
152,Laptop,Electronics,North,1050,2,2023-09-29
153,Laptop,Furniture,East,1445,3,2023-04-30
154,Laptop,Furniture,North,584,3,2023-05-29
155,Chair,Electronics,North,657,4,2023-05-06
156,Chair,Furniture,West,1145,3,2023-04-24
157,Chair,Furniture,East,672,2,2023-12-26
158,Phone,Electronics,South,690,1,2023-05-03
159,Chair,Electronics,South,1782,3,2023-10-04
160,Desk,Electronics,East,1630,2,2023-01-08
161,Desk,Furniture,South,551,1,2023-01-08
162,Chair,Electronics,North,211,5,2023-12-07
163,Laptop,Furniture,East,814,5,2023-06-20
164,Tablet,Electronics,East,1171,5,2023-06-03
165,Desk,Electronics,West,1841,4,2023-09-12
166,Chair,Electronics,West,1071,5,2023-12-01
167,Chair,Furniture,West,980,1,2023-07-10
168,Chair,Electronics,West,1990,5,2023-05-20
169,Chair,Electronics,East,720,5,2023-12-18
170,Laptop,Furniture,East,1942,3,2023-08-18
171,Desk,Electronics,North,777,1,2023-01-01
172,Laptop,Electronics,North,1313,5,2023-11-27
173,Tablet,Electronics,South,1074,3,2023-06-02
174,Tablet,Furniture,North,1221,5,2023-09-03
175,Laptop,Electronics,West,533,2,2023-08-25
176,Laptop,Furniture,North,1448,1,2023-09-01
177,Laptop,Furniture,West,1735,5,2023-09-07
178,Laptop,Furniture,West,1327,3,2023-08-27
179,Desk,Electronics,South,162,2,2023-02-21
180,Laptop,Furniture,East,585,2,2023-03-04
181,Laptop,Electronics,South,395,2,2023-09-18
182,Laptop,Furniture,North,1893,1,2023-05-14
183,Tablet,Electronics,South,1045,2,2023-01-16
184,Phone,Furniture,North,131,5,2023-08-30
185,Phone,Electronics,East,1943,5,2023-02-18
186,Chair,Electronics,West,488,2,2023-04-07
187,Chair,Electronics,South,1224,5,2023-03-12
188,Desk,Furniture,South,1135,5,2023-05-21
189,Phone,Electronics,West,1293,3,2023-01-12
190,Phone,Electronics,West,559,4,2023-07-01
191,Chair,Furniture,North,1742,2,2023-04-01
192,Tablet,Furniture,East,687,3,2023-01-31
193,Tablet,Furniture,South,1602,1,2023-04-04
194,Tablet,Furniture,East,1591,3,2023-05-06
195,Laptop,Furniture,West,1774,2,2023-04-24
196,Chair,Furniture,West,276,1,2023-04-17
197,Desk,Electronics,West,1084,4,2023-03-24
198,Desk,Furniture,East,1486,3,2023-12-27
199,Desk,Furniture,West,500,1,2023-12-23
200,Desk,Electronics,North,1637,4,2023-01-06
201,Desk,Electronics,East,1194,3,2023-06-22
202,Desk,Electronics,West,568,1,2023-06-11
203,Phone,Electronics,North,1743,3,2023-07-25
204,Tablet,Furniture,East,221,5,2023-11-24
205,Tablet,Furniture,West,304,3,2023-02-27
206,Chair,Electronics,North,422,3,2023-10-24
207,Desk,Electronics,South,367,5,2023-05-13
208,Tablet,Electronics,North,607,4,2023-06-28
209,Laptop,Electronics,West,1555,1,2023-09-09
210,Tablet,Electronics,West,429,5,2023-09-18
211,Chair,Electronics,South,286,3,2023-09-06
212,Tablet,Furniture,North,1384,1,2023-12-30
213,Tablet,Electronics,East,1427,2,2023-09-27
214,Phone,Electronics,West,952,1,2023-10-09
215,Tablet,Furniture,North,358,1,2023-08-18
216,Desk,Electronics,South,1422,1,2023-01-11
217,Laptop,Electronics,West,1401,3,2023-07-24
218,Phone,Furniture,East,1533,4,2023-12-02
219,Chair,Electronics,South,1925,1,2023-08-28
220,Laptop,Furniture,South,557,4,2023-07-05
221,Desk,Electronics,East,192,4,2023-04-26
222,Phone,Electronics,West,322,5,2023-03-21
223,Desk,Electronics,North,975,1,2023-07-25
224,Desk,Furniture,South,1710,4,2023-05-11
225,Laptop,Electronics,East,318,5,2023-10-06
226,Laptop,Furniture,East,454,5,2023-01-11
227,Phone,Electronics,East,1442,3,2023-06-13
228,Phone,Furniture,North,592,4,2023-11-16
229,Phone,Furniture,West,1248,3,2023-05-01
230,Desk,Furniture,South,1423,3,2023-10-29
231,Tablet,Electronics,South,293,4,2023-11-02
232,Phone,Furniture,East,182,3,2023-08-07
233,Desk,Furniture,East,1227,2,2023-07-14
234,Laptop,Electronics,South,1383,4,2023-12-31
235,Chair,Furniture,South,992,3,2023-05-26
236,Chair,Furniture,West,1165,2,2023-09-08
237,Tablet,Electronics,South,1587,1,2023-06-20
238,Tablet,Electronics,North,763,3,2023-04-25
239,Laptop,Furniture,North,1725,3,2023-11-27
240,Tablet,Furniture,North,209,1,2023-02-23
241,Tablet,Furniture,East,1269,1,2023-03-04
242,Tablet,Furniture,South,673,2,2023-12-01
243,Chair,Furniture,West,1592,4,2023-07-06
244,Phone,Electronics,South,1304,4,2023-02-09
245,Laptop,Electronics,South,1568,1,2023-05-30
246,Chair,Furniture,West,237,5,2023-06-06
247,Chair,Electronics,South,897,2,2023-03-18
248,Laptop,Electronics,East,671,4,2023-10-07
249,Chair,Furniture,West,1288,1,2023-12-27
250,Tablet,Electronics,West,749,4,2023-09-21
251,Tablet,Furniture,East,1751,3,2023-07-11
252,Chair,Electronics,West,1728,1,2023-04-23
253,Chair,Electronics,North,211,2,2023-08-13
254,Tablet,Furniture,East,1389,3,2023-07-03
255,Desk,Electronics,South,1287,3,2023-11-20
256,Tablet,Furniture,West,1423,2,2023-12-22
257,Phone,Furniture,East,383,3,2023-04-26
258,Tablet,Furniture,South,1576,2,2023-02-05
259,Laptop,Electronics,South,902,4,2023-02-13
260,Chair,Furniture,East,1806,4,2023-03-02
261,Desk,Electronics,West,1603,5,2023-12-17
262,Desk,Electronics,West,1253,2,2023-10-16
263,Phone,Furniture,North,681,5,2023-09-07
264,Desk,Electronics,North,1252,1,2023-07-13
265,Desk,Electronics,West,1479,4,2023-04-29
266,Phone,Electronics,North,477,3,2023-07-08
267,Tablet,Furniture,East,1081,3,2023-03-15
268,Phone,Electronics,West,963,1,2023-08-01
269,Tablet,Electronics,North,130,5,2023-02-13
270,Tablet,Furniture,East,1288,1,2023-09-04
271,Tablet,Electronics,East,1830,1,2023-08-23
272,Tablet,Electronics,North,812,4,2023-01-12
273,Desk,Electronics,South,421,5,2023-11-02
274,Chair,Electronics,East,246,5,2023-05-21
275,Tablet,Electronics,East,737,3,2023-10-31
276,Desk,Electronics,North,929,4,2023-05-04
277,Chair,Electronics,South,1104,2,2023-05-29
278,Phone,Electronics,East,252,4,2023-08-30
279,Chair,Furniture,North,1446,5,2023-04-25
280,Laptop,Furniture,North,892,2,2023-09-01
281,Desk,Electronics,West,1985,5,2023-06-30
282,Tablet,Electronics,West,682,4,2023-06-26
283,Phone,Electronics,South,1106,2,2023-11-08
284,Tablet,Furniture,South,1642,3,2023-08-13
285,Tablet,Furniture,South,1833,5,2023-06-12
286,Chair,Electronics,South,224,3,2023-06-15
287,Chair,Furniture,West,820,4,2023-09-06
288,Phone,Electronics,West,442,5,2023-07-01
289,Laptop,Electronics,South,1358,2,2023-08-30
290,Chair,Electronics,East,480,4,2023-05-21
291,Laptop,Furniture,South,580,1,2023-08-06
292,Phone,Furniture,South,896,1,2023-11-29
293,Chair,Furniture,South,1054,3,2023-02-27
294,Chair,Furniture,South,1562,5,2023-11-08
295,Laptop,Electronics,South,144,1,2023-06-29
296,Chair,Electronics,West,1437,5,2023-05-25
297,Chair,Furniture,North,1002,3,2023-06-13
298,Laptop,Furniture,North,953,5,2023-12-11
299,Phone,Electronics,North,1578,3,2023-03-16
300,Laptop,Electronics,East,1654,3,2023-04-21
301,Desk,Furniture,North,1057,1,2023-04-16
302,Desk,Furniture,East,1379,5,2023-03-23
303,Tablet,Electronics,North,274,4,2023-01-17
304,Phone,Furniture,West,427,5,2023-08-30
305,Phone,Electronics,South,1271,2,2023-07-05
306,Tablet,Electronics,South,1577,3,2023-07-24
307,Tablet,Electronics,North,1437,1,2023-07-28
308,Chair,Electronics,East,395,1,2023-01-12
309,Laptop,Electronics,East,1473,4,2023-07-27
310,Chair,Furniture,North,866,4,2023-09-28
311,Chair,Electronics,West,221,2,2023-04-18
312,Chair,Electronics,East,841,3,2023-01-02
313,Phone,Furniture,North,1525,1,2023-10-26
314,Desk,Electronics,East,1759,1,2023-12-14
315,Chair,Furniture,East,372,1,2023-02-25
316,Phone,Electronics,North,1430,4,2023-07-12
317,Chair,Electronics,North,1990,4,2023-04-08
318,Desk,Electronics,South,509,1,2023-08-28
319,Desk,Furniture,West,1275,5,2023-11-07
320,Desk,Furniture,North,453,4,2023-07-22
321,Laptop,Electronics,North,1703,5,2023-08-05
322,Phone,Furniture,East,461,5,2023-01-23
323,Tablet,Furniture,South,1752,1,2023-02-20
324,Laptop,Furniture,East,822,3,2023-04-25
325,Chair,Furniture,North,1714,1,2023-10-23
326,Phone,Furniture,South,941,5,2023-03-14
327,Desk,Furniture,East,426,5,2023-06-15
328,Desk,Furniture,East,1673,5,2023-12-12
329,Phone,Furniture,North,1886,4,2023-06-23
330,Phone,Furniture,West,1570,1,2023-03-18
331,Tablet,Furniture,West,1842,1,2023-10-07
332,Laptop,Furniture,South,1548,4,2023-11-09
333,Phone,Electronics,East,785,2,2023-05-09
334,Phone,Furniture,South,338,3,2023-08-23
335,Desk,Electronics,East,1428,5,2023-04-16
336,Chair,Electronics,South,1566,2,2023-04-24
337,Laptop,Furniture,East,309,4,2023-08-08
338,Desk,Electronics,West,563,5,2023-04-15
339,Laptop,Furniture,West,1432,4,2023-04-05
340,Desk,Electronics,North,197,3,2023-12-22
341,Chair,Furniture,West,643,2,2023-05-26
342,Laptop,Electronics,West,558,3,2023-07-19
343,Chair,Furniture,West,174,3,2023-09-08
344,Phone,Furniture,East,1602,3,2023-12-29
345,Tablet,Electronics,North,1399,3,2023-07-13
346,Phone,Electronics,South,1809,2,2023-03-28
347,Chair,Furniture,North,507,2,2023-07-29
348,Tablet,Electronics,South,630,3,2023-10-18
349,Chair,Furniture,North,1934,2,2023-03-16
350,Tablet,Furniture,North,1324,2,2023-09-28
351,Desk,Electronics,North,809,4,2023-06-26
352,Desk,Electronics,West,1281,1,2023-09-12
353,Tablet,Electronics,West,801,5,2023-05-02
354,Desk,Furniture,North,1577,3,2023-08-01
355,Desk,Electronics,East,1335,5,2023-03-13
356,Laptop,Electronics,West,1347,3,2023-12-12
357,Phone,Electronics,South,1505,5,2023-04-05
358,Laptop,Furniture,North,1692,4,2023-04-15
359,Desk,Furniture,North,797,5,2023-01-24
360,Chair,Furniture,North,644,1,2023-07-19
361,Laptop,Electronics,West,1461,3,2023-12-06
362,Phone,Furniture,South,1290,4,2023-05-09
363,Desk,Electronics,East,1891,1,2023-12-26
364,Laptop,Furniture,South,1773,1,2023-08-30
365,Tablet,Electronics,East,428,3,2023-11-10
366,Tablet,Furniture,East,1567,3,2023-05-31
367,Laptop,Furniture,South,1122,3,2023-01-11
368,Laptop,Furniture,West,1046,4,2023-07-17
369,Tablet,Electronics,North,962,5,2023-03-26
370,Desk,Electronics,East,1057,1,2023-03-09
371,Tablet,Furniture,South,1781,5,2023-06-06
372,Chair,Furniture,East,1403,2,2023-11-11
373,Phone,Furniture,West,1414,4,2023-12-28
374,Chair,Electronics,East,1627,4,2023-10-01
375,Tablet,Furniture,East,1268,1,2023-02-03
376,Laptop,Electronics,West,154,1,2023-09-30
377,Laptop,Furniture,East,1795,3,2023-12-02
378,Laptop,Furniture,East,714,1,2023-06-02
379,Phone,Electronics,West,1663,1,2023-02-13
380,Tablet,Electronics,South,486,4,2023-02-11
381,Laptop,Furniture,East,883,3,2023-04-21
382,Chair,Furniture,West,1785,5,2023-03-04
383,Laptop,Electronics,East,963,1,2023-10-18
384,Chair,Furniture,East,238,5,2023-04-28
385,Phone,Electronics,West,1581,2,2023-07-23
386,Desk,Electronics,South,1615,3,2023-03-20
387,Tablet,Furniture,South,1094,3,2023-05-23
388,Laptop,Electronics,West,809,3,2023-06-04
389,Laptop,Electronics,South,248,4,2023-09-21
390,Laptop,Electronics,South,624,5,2023-02-16
391,Phone,Furniture,South,854,2,2023-01-31
392,Chair,Furniture,South,234,5,2023-06-29
393,Chair,Furniture,West,1693,5,2023-04-02
394,Tablet,Electronics,East,1200,2,2023-04-16
395,Tablet,Electronics,North,1100,2,2023-02-15
396,Desk,Electronics,South,823,1,2023-04-14
397,Desk,Electronics,West,1533,3,2023-10-02
398,Phone,Furniture,North,1653,2,2023-12-10
399,Phone,Electronics,South,277,2,2023-10-25
400,Desk,Electronics,North,1735,5,2023-07-13
401,Desk,Furniture,South,111,3,2023-01-01
402,Laptop,Electronics,West,1306,4,2023-02-09
403,Laptop,Electronics,South,1862,4,2023-11-08
404,Phone,Furniture,South,320,5,2023-04-02
405,Laptop,Furniture,North,1713,5,2023-08-24
406,Chair,Electronics,South,777,1,2023-08-06
407,Phone,Electronics,West,163,4,2023-09-30
408,Laptop,Furniture,East,1837,1,2023-09-06
409,Laptop,Electronics,East,1053,4,2023-12-14
410,Laptop,Electronics,South,699,2,2023-08-14
411,Laptop,Furniture,South,1857,4,2023-11-10
412,Desk,Electronics,North,341,4,2023-09-03
413,Phone,Electronics,South,763,2,2023-11-16
414,Tablet,Electronics,South,1904,1,2023-12-25
415,Phone,Furniture,North,1746,5,2023-02-17
416,Phone,Furniture,South,177,1,2023-01-22
417,Laptop,Furniture,South,1260,2,2023-06-27
418,Chair,Electronics,South,1545,1,2023-03-28
419,Laptop,Electronics,South,450,1,2023-05-27
420,Laptop,Electronics,West,1352,5,2023-08-01
421,Tablet,Electronics,East,357,2,2023-09-07
422,Laptop,Electronics,West,1236,2,2023-02-24
423,Phone,Electronics,South,572,5,2023-10-18
424,Tablet,Furniture,South,341,1,2023-05-11
425,Chair,Furniture,North,1248,4,2023-07-09
426,Phone,Electronics,North,1683,3,2023-07-19
427,Laptop,Electronics,South,362,2,2023-08-16
428,Chair,Electronics,North,1713,3,2023-05-14
429,Laptop,Electronics,North,487,2,2023-06-08
430,Desk,Furniture,West,1264,5,2023-12-08
431,Chair,Electronics,North,1739,4,2023-08-02
432,Laptop,Electronics,West,1298,2,2023-04-21
433,Tablet,Electronics,South,1282,3,2023-10-01
434,Laptop,Electronics,North,689,2,2023-05-14
435,Laptop,Electronics,South,494,5,2023-03-25
436,Tablet,Electronics,East,273,5,2023-07-15
437,Chair,Electronics,East,1016,3,2023-09-19
438,Tablet,Electronics,North,1142,5,2023-09-15
439,Phone,Electronics,South,1088,3,2023-07-27
440,Tablet,Furniture,West,545,3,2023-11-03
441,Phone,Furniture,South,509,4,2023-09-05
442,Tablet,Furniture,East,1933,2,2023-09-14
443,Tablet,Furniture,West,1313,1,2023-01-22
444,Desk,Electronics,West,903,4,2023-05-14
445,Phone,Electronics,East,1354,2,2023-09-12
446,Laptop,Electronics,North,1912,4,2023-05-12
447,Desk,Electronics,North,372,4,2023-05-28
448,Phone,Furniture,North,1900,2,2023-04-09
449,Tablet,Electronics,North,401,5,2023-03-26
450,Chair,Furniture,South,1790,2,2023-10-24
451,Desk,Furniture,East,691,1,2023-03-18
452,Phone,Electronics,West,1738,2,2023-11-17
453,Desk,Electronics,East,925,3,2023-05-04
454,Chair,Electronics,East,828,3,2023-09-06
455,Laptop,Furniture,East,1970,2,2023-03-10
456,Laptop,Furniture,West,1309,2,2023-08-28
457,Desk,Electronics,South,1516,1,2023-01-18
458,Chair,Furniture,North,1991,4,2023-07-24
459,Tablet,Furniture,North,1686,4,2023-12-20
460,Chair,Electronics,South,619,3,2023-09-04
461,Chair,Electronics,East,924,2,2023-06-08
462,Tablet,Electronics,West,550,1,2023-03-27
463,Chair,Electronics,East,1014,2,2023-08-18
464,Phone,Furniture,East,1135,2,2023-11-10
465,Chair,Furniture,North,1838,4,2023-12-06
466,Phone,Furniture,South,1623,1,2023-12-18
467,Phone,Furniture,West,1029,1,2023-03-26
468,Tablet,Electronics,North,1228,2,2023-09-10
469,Laptop,Furniture,South,1133,1,2023-11-10
470,Desk,Electronics,South,1691,5,2023-07-28
471,Tablet,Furniture,East,1316,3,2023-08-23
472,Tablet,Furniture,East,1512,5,2023-10-10
473,Phone,Electronics,North,464,3,2023-01-26
474,Chair,Furniture,West,1157,1,2023-07-30
475,Tablet,Electronics,East,1611,5,2023-01-25
476,Chair,Furniture,East,973,2,2023-10-17
477,Desk,Electronics,North,273,5,2023-07-01
478,Tablet,Electronics,West,960,5,2023-03-06
479,Tablet,Furniture,East,862,3,2023-07-23
480,Laptop,Electronics,West,1780,5,2023-04-04
481,Phone,Electronics,East,234,1,2023-06-28
482,Phone,Furniture,West,1633,3,2023-01-06
483,Tablet,Furniture,South,668,3,2023-05-02
484,Laptop,Furniture,North,1507,4,2023-12-23
485,Desk,Electronics,South,224,1,2023-12-01
486,Laptop,Furniture,West,1800,2,2023-01-10
487,Laptop,Electronics,South,1950,4,2023-01-19
488,Chair,Furniture,South,1900,5,2023-08-21
489,Desk,Electronics,North,577,3,2023-04-18
490,Chair,Furniture,North,159,1,2023-10-05
491,Tablet,Furniture,East,939,4,2023-01-22
492,Desk,Electronics,South,1047,3,2023-04-28
493,Desk,Electronics,North,1414,4,2023-12-15
494,Chair,Furniture,West,492,1,2023-03-05
495,Laptop,Furniture,East,338,5,2023-01-04
496,Chair,Furniture,North,1225,3,2023-12-15
497,Tablet,Furniture,West,1103,2,2023-10-25
498,Desk,Furniture,West,629,4,2023-11-06
499,Phone,Furniture,East,293,3,2023-03-16
500,Tablet,Electronics,North,1186,3,2023-06-29
501,Phone,Electronics,East,142,2,2023-08-15
502,Chair,Electronics,North,1322,4,2023-12-11
503,Phone,Furniture,North,1633,5,2023-06-26
504,Tablet,Furniture,East,223,1,2023-08-10
505,Phone,Furniture,South,1176,5,2023-07-16
506,Desk,Electronics,East,1159,4,2023-05-14
507,Phone,Electronics,North,636,4,2023-06-27
508,Phone,Electronics,West,1243,5,2023-09-04
509,Tablet,Furniture,East,406,2,2023-04-22
510,Tablet,Electronics,North,156,3,2023-01-15
511,Desk,Electronics,South,370,2,2023-09-17
512,Desk,Furniture,North,1865,3,2023-02-20
513,Chair,Furniture,East,1027,4,2023-07-11
514,Laptop,Electronics,West,658,3,2023-09-15
515,Tablet,Electronics,East,1631,4,2023-09-06
516,Laptop,Furniture,East,604,2,2023-06-03
517,Desk,Electronics,West,928,1,2023-02-28
518,Chair,Electronics,West,1287,1,2023-09-25
519,Phone,Electronics,East,1972,4,2023-10-22
520,Phone,Furniture,South,1771,2,2023-03-16
521,Chair,Furniture,West,462,4,2023-02-10
522,Tablet,Furniture,West,228,4,2023-08-14
523,Chair,Electronics,West,1828,5,2023-10-17
524,Tablet,Electronics,South,849,3,2023-06-05
525,Laptop,Furniture,North,1000,5,2023-08-07
526,Desk,Electronics,West,586,5,2023-10-23
527,Desk,Electronics,West,619,1,2023-10-18
528,Laptop,Electronics,West,304,5,2023-06-02
529,Phone,Electronics,North,676,4,2023-07-11
530,Laptop,Furniture,West,186,5,2023-03-20
531,Desk,Electronics,South,351,4,2023-06-16
532,Desk,Furniture,East,1548,3,2023-01-16
533,Tablet,Furniture,North,1920,5,2023-04-28
534,Chair,Electronics,North,486,1,2023-08-06
535,Tablet,Electronics,South,1203,4,2023-02-09
536,Desk,Furniture,North,735,5,2023-07-14
537,Laptop,Electronics,South,627,4,2023-02-11
538,Desk,Electronics,West,1009,5,2023-04-30
539,Chair,Furniture,North,1679,3,2023-03-23
540,Phone,Furniture,West,1897,1,2023-05-11
541,Desk,Furniture,West,1345,5,2023-09-04
542,Desk,Furniture,South,2000,5,2023-05-17
543,Desk,Furniture,East,1497,4,2023-11-14
544,Desk,Furniture,East,138,1,2023-11-25
545,Phone,Furniture,West,651,5,2023-04-04
546,Chair,Electronics,North,277,5,2023-12-06
547,Tablet,Electronics,South,1736,1,2023-12-26
548,Laptop,Electronics,North,308,4,2023-12-11
549,Desk,Electronics,East,1542,1,2023-04-23
550,Tablet,Furniture,West,231,2,2023-04-28
551,Tablet,Electronics,East,204,1,2023-12-27
552,Chair,Electronics,West,654,4,2023-11-23
553,Laptop,Electronics,North,1305,3,2023-07-11
554,Phone,Furniture,South,1616,2,2023-06-28
555,Laptop,Furniture,West,1501,3,2023-09-21
556,Tablet,Furniture,North,1695,3,2023-09-23
557,Phone,Furniture,East,1047,5,2023-06-28
558,Desk,Electronics,North,1833,1,2023-03-04
559,Desk,Electronics,South,528,4,2023-03-19
